pt,country_group,n_sims,median_risk_observed,lower_95_observed,upper_95_observed,median_risk_corrected,lower_95_corrected,upper_95_corrected,n_exposed
Hypertonia,Australia,1000,0.013903700939997342,0.009021521611003168,0.02087704596748896,0.08152051877970753,0.026689000671054626,0.1954626303303029,103765624
Impaired vision,Australia,1000,0.013903700939997342,0.009021521611003168,0.02087704596748896,0.08152051877970753,0.026689000671054626,0.1954626303303029,103765624
Mental impairment NOS,Australia,1000,0.013903700939997342,0.009021521611003168,0.02087704596748896,0.08152051877970753,0.026689000671054626,0.1954626303303029,103765624
Skin haemorrhage,Australia,1000,0.013903700939997342,0.009021521611003168,0.02087704596748896,0.08152051877970753,0.026689000671054626,0.1954626303303029,103765624
Hyperphosphataemia,Australia,1000,0.012910579444283246,0.008377127210217225,0.019385828398382605,0.075697624581157,0.024782643480265005,0.18150101387813838,103765624
Hypoglycaemia,Australia,1000,0.012910579444283246,0.008377127210217225,0.019385828398382605,0.075697624581157,0.024782643480265005,0.18150101387813838,103765624
Increased urine concentration,Australia,1000,0.012910579444283246,0.008377127210217225,0.019385828398382605,0.075697624581157,0.024782643480265005,0.18150101387813838,103765624
Hair change,Australia,1000,0.01191745794856915,0.007732732809431286,0.017894610829276254,0.06987473038260647,0.022876286289475394,0.16753939742597393,103765624
Hyporeflexia,Australia,1000,0.01191745794856915,0.007732732809431286,0.017894610829276254,0.06987473038260647,0.022876286289475394,0.16753939742597393,103765624
Inappropriate defecation,Australia,1000,0.01191745794856915,0.007732732809431286,0.017894610829276254,0.06987473038260647,0.022876286289475394,0.16753939742597393,103765624
Injection site pain,Australia,1000,0.01191745794856915,0.007732732809431286,0.017894610829276254,0.06987473038260647,0.022876286289475394,0.16753939742597393,103765624
Neuromuscular disorder NOS,Australia,1000,0.01191745794856915,0.007732732809431286,0.017894610829276254,0.06987473038260647,0.022876286289475394,0.16753939742597393,103765624
Weight gain,Australia,1000,0.01191745794856915,0.007732732809431286,0.017894610829276254,0.06987473038260647,0.022876286289475394,0.16753939742597393,103765624
Abdominal mass,Australia,1000,0.010924336452855055,0.0070883384086453454,0.016403393260169898,0.06405183618405592,0.020969929098685777,0.15357778097380942,103765624
Cyanosis,Australia,1000,0.010924336452855055,0.0070883384086453454,0.016403393260169898,0.06405183618405592,0.020969929098685777,0.15357778097380942,103765624
Hypokalaemia,Australia,1000,0.010924336452855055,0.0070883384086453454,0.016403393260169898,0.06405183618405592,0.020969929098685777,0.15357778097380942,103765624
Increased percentage reticulocytes,Australia,1000,0.010924336452855055,0.0070883384086453454,0.016403393260169898,0.06405183618405592,0.020969929098685777,0.15357778097380942,103765624
Monocytosis,Australia,1000,0.010924336452855055,0.0070883384086453454,0.016403393260169898,0.06405183618405592,0.020969929098685777,0.15357778097380942,103765624
Neutropenia,Australia,1000,0.010924336452855055,0.0070883384086453454,0.016403393260169898,0.06405183618405592,0.020969929098685777,0.15357778097380942,103765624
Sneezing,Australia,1000,0.010924336452855055,0.0070883384086453454,0.016403393260169898,0.06405183618405592,0.020969929098685777,0.15357778097380942,103765624
Thrombocytosis,Australia,1000,0.010924336452855055,0.0070883384086453454,0.016403393260169898,0.06405183618405592,0.020969929098685777,0.15357778097380942,103765624
Acidosis,Australia,1000,0.009931214957140957,0.006443944007859405,0.014912175691063545,0.05822894198550538,0.019063571907896162,0.13961616452164488,103765624
Desquamation,Australia,1000,0.009931214957140957,0.006443944007859405,0.014912175691063545,0.05822894198550538,0.019063571907896162,0.13961616452164488,103765624
